State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
Mumbai,INFINITI MALAD,"Shop No: 113a, First Floor, Infiniti Mall, Malad (w), Mumbai",11:00 AM to 10:00 PM,"INFINITI MALAD, Mumbai",19.18505,72.83561
MYSORE,BHARTIYA MALL,"Bhartiya City, Kannuru, Bengaluru, Karnataka 560064",10:30 AM to 9:00 PM,"BHARTIYA MALL, MYSORE",12.32881999,76.647025
MYSORE,DEVARAJ ROAD MYSORE,100 Footline Devraj Urs Road,10:30 AM to 9:30 PM,"DEVARAJ ROAD MYSORE, MYSORE",12.30929024,76.64817031
MYSORE,MAYSOORE,"G-2, Forum Centre City Mall, No.8 & N-5, Hyder Ali Road, Nazarbad Mohalla, Mysuru, Karnataka 570019",10:00 AM to 9:00 PM,"MAYSOORE, MYSORE",12.30478,76.70462961
Nagaland,CHUMUKEDIMA,"7th Mile ,ward No:11 Chumukedima, Nagaland 797103",10:00 AM to 9:00 PM,"CHUMUKEDIMA, Nagaland",25.81039,93.78775
Nagaland,"NYAMO LOTHA ROAD, DIMAPUR, NAGALAND","Miniso, C/o Re-invented Infra Tech, Nyamo Lotha Road, Dmapur 797112 Nagaland",9:00 am - 6:30 pm,"NYAMO LOTHA ROAD, DIMAPUR, NAGALAND, Nagaland",25.91174,93.7217
Navi Mumbai,"INORBIT MALL, VASHI","Inorbit Mall, Plot No.- 88, 39, 1, Palm Beach Rd, Sector 30a, Vashi, Navi Mumbai, Maharashtra - 400705",11:00 AM to 10:00 PM,"INORBIT MALL, VASHI, Navi Mumbai",19.06558,73.00064
Navi Mumbai,"GAGANGIRI BUILDING, VASHI","Shop No. 8c, Gagangiri Building, Plot No. 47, Sector 17, Vashi, Maharashtra - 400703",11:00 AM to 10:00 PM,"GAGANGIRI BUILDING, VASHI, Navi Mumbai",19.08006,72.99861
Navi Mumbai,"ORION MALL, PANVEL","Final Plot No 311, Near St Bus Depot, Panvel, Forest Colony, Panvel, Navi Mumbai, Maharashtra - 410206",11:00 AM to 10:00 PM,"ORION MALL, PANVEL, Navi Mumbai",18.99326,73.11548
New Delhi,"MINISO PACIFIC MALL, JASOLA APOLLO","Shop Number F09 Ground Floor Pacific Mall, Jasola Apollo Metro Station, Cpd48, Sarita Vihar, New Delhi 110044",10:00 AM to 9:00 PM,"MINISO PACIFIC MALL, JASOLA APOLLO, New Delhi",28.54059,77.29678
New Delhi,TILAK NAGAR,"Miniso ,floor 1 ,pacific Mall Tagore Garden,tilak Nagar , West Delhi 110018",11:00 AM to 9:00 PM,"TILAK NAGAR, New Delhi",28.64089,77.08922
New Delhi,PREET VIHAR,"8, Bharti Artist Colony ,next To Metro Pillar Number 74, Block C,  Preet Vihar, Delhi, 110092",11:00 AM to 9:00 PM,"PREET VIHAR, New Delhi",28.63902,77.29598
New Delhi,"IN2E UNITY ONE MALL, JANAKPURI","Shop Number 25 And 26, Ground Floor, Unity One Janakpuri, Mlcp Plot, Janakpuri (west) Metro Station Complex, New Delhi-110058",,"IN2E UNITY ONE MALL, JANAKPURI, New Delhi",28.6291,77.07712
New Delhi,RAMPHAL CHOWK,"B - 300, Palam Extension, Main Road, Ramphal Chowk, Sector 7, Dwarka, New Delhi - 110075",11:00 AM to 9:00 PM,"RAMPHAL CHOWK, New Delhi",28.59064001,77.07174001
New Delhi,PASCHIM VIHAR (B2 MARKET),"A3/180, Ground Floor, B2 Market, Paschim Vihar, New Delhi - 110063",11:00 AM to 9:00 PM,"PASCHIM VIHAR (B2 MARKET), New Delhi",28.66933,77.09173
